DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01113,CZ,2015-02,101.1,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01113,CZ,2015-03,101.4,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01113,CZ,2015-04,101.6,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01113,CZ,2015-05,98.6,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01113,CZ,2015-06,100.4,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01113,CZ,2015-07,99.3,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01113,CZ,2015-08,99.2,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01113,CZ,2015-09,99.6,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01113,CZ,2015-10,99.3,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01113,CZ,2015-11,99.8,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01113,CZ,2015-12,99.5,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01113,CZ,2016-01,99.5,
